Timestamp,Latitude,Longitude,Distance,Speed,CumulativeDistance,UNIXTime
25/07/2013 08:38:35,13.0176200867,80.2250137329,105.6135882641,10.5613588264,38252.9616061872,1374721715
25/07/2013 08:38:46,13.016699791,80.2253799438,109.753991362,9.9776355784,38362.7155975492,1374721726
25/07/2013 08:39:06,13.0152196884,80.2259368896,175.2919286499,8.7645964325,38538.0075261991,1374721746
25/07/2013 08:39:16,13.014550209,80.2262115479,80.169360109,8.0169360109,38618.176886308,1374721756
25/07/2013 08:39:27,13.0144100189,80.226272583,16.9328488057,1.5393498914,38635.1097351138,1374721767
25/07/2013 08:39:37,13.0143699646,80.2262802124,4.5301150638,0.4530115064,38639.6398501776,1374721777
25/07/2013 08:39:47,13.0139398575,80.2264099121,49.8473600504,4.984736005,38689.4872102279,1374721787
25/07/2013 08:39:57,13.0131998062,80.2266921997,87.7891806922,8.7789180692,38777.2763909202,1374721797
25/07/2013 08:40:07,13.0122900009,80.2270431519,108.0748619129,10.8074861913,38885.351252833,1374721807
25/07/2013 08:40:17,13.0112800598,80.2274169922,119.3807502801,11.938075028,39004.7320031132,1374721817
25/07/2013 08:40:28,13.0101203918,80.2278671265,137.8628875987,12.5329897817,39142.5948907119,1374721828
25/07/2013 08:40:37,13.0095396042,80.2276611328,68.3280937665,7.5920104185,39210.9229844784,1374721837
25/07/2013 08:40:47,13.0097999573,80.2269973755,77.5204695906,7.7520469591,39288.443454069,1374721847
25/07/2013 08:40:57,13.0101604462,80.2261810303,97.1030787973,9.7103078797,39385.5465328663,1374721857
25/07/2013 08:41:07,13.0103998184,80.2255172729,76.679634506,7.6679634506,39462.2261673723,1374721867
25/07/2013 08:41:19,13.0108098984,80.2246170044,107.6680546853,8.9723378904,39569.8942220576,1374721879
25/07/2013 08:41:29,13.0110702515,80.2239379883,79.0561402864,7.9056140286,39648.9503623439,1374721889
25/07/2013 08:41:39,13.0112495422,80.2234268188,58.8592722502,5.885927225,39707.8096345941,1374721899
25/07/2013 08:41:49,13.0111503601,80.2231369019,33.2896818843,3.3289681884,39741.0993164784,1374721909
25/07/2013 08:42:09,13.0104398727,80.2227478027,89.545879835,4.4772939918,39830.6451963134,1374721929
25/07/2013 08:42:19,13.0099000931,80.2224273682,69.3375467232,6.9337546723,39899.9827430365,1374721939
25/07/2013 08:42:29,13.00922966,80.2220993042,82.5881438709,8.2588143871,39982.5708869074,1374721949
25/07/2013 08:42:39,13.0085296631,80.2217178345,88.1279313863,8.8127931386,40070.6988182937,1374721959
25/07/2013 08:42:49,13.0078001022,80.2213287354,91.422691942,9.1422691942,40162.1215102357,1374721969
25/07/2013 08:43:00,13.0069904327,80.2209014893,101.2336174314,9.2030561301,40263.3551276671,1374721980
25/07/2013 08:43:10,13.0060901642,80.2206115723,104.917464398,10.4917464398,40368.2725920651,1374721990
25/07/2013 08:43:20,13.005200386,80.2203903198,101.8012762393,10.1801276239,40470.0738683044,1374722000
25/07/2013 08:43:30,13.0048999786,80.2203216553,34.2220351847,3.4222035185,40504.2959034892,1374722010
25/07/2013 08:43:40,13.0045003891,80.2202072144,46.1298613573,4.6129861357,40550.4257648464,1374722020
